Station;Fuseau;Chronique;unite
PIZ;UTC+00;HT;cm
DateHeure;valeur;qualite
20/07/2024 13:50;50.0;v
20/07/2024 14:05;49.7;v
20/07/2024 14:15;49.9;v
20/07/2024 14:25;49.7;v
20/07/2024 14:30;49.9;v
20/07/2024 14:35;49.7;v
20/07/2024 15:05;49.6;v
20/07/2024 15:35;49.6;v
20/07/2024 15:55;49.3;v
20/07/2024 16:40;49.6;v
20/07/2024 16:45;49.4;v
20/07/2024 17:45;49.3;v
20/07/2024 18:20;49.5;v
20/07/2024 19:25;49.3;v
20/07/2024 19:55;49.3;v
20/07/2024 20:10;49.8;v
20/07/2024 20:20;50.0;v
20/07/2024 20:45;50.0;v
20/07/2024 21:00;49.8;v
20/07/2024 21:15;50.0;v
20/07/2024 21:35;50.0;v
20/07/2024 21:45;49.7;v
20/07/2024 21:50;49.8;v
20/07/2024 22:05;49.6;v
20/07/2024 22:30;49.7;v
20/07/2024 23:30;49.6;v
20/07/2024 23:35;49.5;v
21/07/2024 00:10;49.6;v
21/07/2024 00:15;49.5;v
21/07/2024 01:00;49.3;v
21/07/2024 02:35;49.3;v
21/07/2024 03:05;49.7;v
21/07/2024 03:20;50.0;v
21/07/2024 03:45;50.1;v
21/07/2024 04:25;50.5;v
21/07/2024 04:30;50.9;v
21/07/2024 04:35;51.9;v
21/07/2024 04:40;53.3;v
21/07/2024 04:45;54.4;v
21/07/2024 04:55;55.3;v
21/07/2024 05:10;55.8;v
21/07/2024 05:15;55.7;v
21/07/2024 05:20;55.9;v
21/07/2024 05:55;55.5;v
21/07/2024 06:15;56.3;v
21/07/2024 06:35;57.9;v
21/07/2024 06:55;58.8;v
21/07/2024 07:25;59.5;v
21/07/2024 07:30;59.8;v
21/07/2024 08:00;60.0;v
21/07/2024 08:10;59.9;v
21/07/2024 08:20;60.0;v
21/07/2024 09:25;59.3;v
21/07/2024 09:55;59.2;v
21/07/2024 10:35;58.6;v
21/07/2024 11:40;57.8;v
21/07/2024 12:10;57.2;v
21/07/2024 12:30;57.2;v
21/07/2024 12:50;56.8;v
21/07/2024 12:55;56.8;v
21/07/2024 13:10;56.5;v
21/07/2024 15:20;55.4;v
21/07/2024 16:55;54.8;v
21/07/2024 17:50;54.1;v
21/07/2024 18:50;53.9;v
21/07/2024 19:00;53.6;v
21/07/2024 20:00;53.5;v
21/07/2024 20:10;53.3;v
21/07/2024 20:55;53.2;v
21/07/2024 21:00;53.0;v
21/07/2024 21:45;53.0;v
21/07/2024 22:05;52.7;v
21/07/2024 22:50;52.6;v
21/07/2024 23:10;52.4;v
22/07/2024 00:15;52.4;v
22/07/2024 00:30;52.2;v
22/07/2024 00:40;52.3;v
22/07/2024 01:25;52.0;v
22/07/2024 02:05;52.0;v
22/07/2024 02:10;52.2;v
22/07/2024 02:20;52.0;v
22/07/2024 03:00;51.9;v
22/07/2024 09:40;52.0;v
